title,category,price_gbp,rating,in_stock,imputed,price_inr
Lilac Girls,Historical Fiction,17.28,2,True,False,1823.04
The Constant Princess (The Tudor Court #1),Historical Fiction,16.62,3,True,False,1753.41
The Invention of Wings,Historical Fiction,37.34,1,True,False,3939.37
World Without End (The Pillars of the Earth #2),Historical Fiction,32.97,4,True,False,3478.34
The Passion of Dolssa,Historical Fiction,28.32,5,True,False,2987.76
Girl With a Pearl Earring,Historical Fiction,26.77,1,True,False,2824.24
Voyager (Outlander #3),Historical Fiction,21.07,5,True,False,2222.89
The Red Tent,Historical Fiction,35.66,5,True,False,3762.13
The Last Painting of Sara de Vos,Historical Fiction,55.55,2,True,False,5860.52
The Guernsey Literary and Potato Peel Pie Society,Historical Fiction,49.53,1,True,False,5225.42
Girl in the Blue Coat,Historical Fiction,46.83,2,True,False,4940.56
Between Shades of Gray,Historical Fiction,20.79,5,True,False,2193.34
While You Were Mine,Historical Fiction,41.32,5,True,False,4359.26
The Secret Healer,Historical Fiction,34.56,3,True,False,3646.08
Starlark,Historical Fiction,25.83,3,True,False,2725.06
Lost Among the Living,Historical Fiction,27.7,4,True,False,2922.35
A Spy's Devotion (The Regency Spies of London #1),Historical Fiction,16.97,5,True,False,1790.33
It's Only the Himalayas,Travel,45.17,2,True,False,4765.44
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,Travel,49.43,4,True,False,5214.86
See America: A Celebration of Our National Parks & Treasured Sites,Travel,48.87,3,True,False,5155.78
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Travel,36.94,2,True,False,3897.17
Under the Tuscan Sun,Travel,37.33,3,True,False,3938.31
A Summer In Europe,Travel,44.34,2,True,False,4677.87
The Great Railway Bazaar,Travel,30.54,1,True,False,3221.97
A Year in Provence (Provence #1),Travel,56.88,4,True,False,6000.84
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Travel,23.21,1,True,False,2448.66
Neither Here nor There: Travels in Europe,Travel,38.95,3,True,False,4109.23
"1,000 Places to See Before You Die",Travel,26.08,5,True,False,2751.44
A Light in the Attic,Poetry,51.77,3,True,False,5461.74
The Black Maria,Poetry,52.15,1,True,False,5501.82
Shakespeare's Sonnets,Poetry,20.66,4,True,False,2179.63
Olio,Poetry,23.88,1,True,False,2519.34
You can't bury them all: Poems,Poetry,33.63,2,True,False,3547.96
Slow States of Collapse: Poems,Poetry,57.31,3,True,False,6046.2
Untitled Collection: Sabbath Poems 2014,Poetry,14.27,4,True,False,1505.48
Poems That Make Grown Women Cry,Poetry,14.19,4,True,False,1497.04
Night Sky with Exit Wounds,Poetry,41.05,1,True,False,4330.77
salt.,Poetry,46.78,4,True,False,4935.29
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",Poetry,50.89,5,True,False,5368.9
Out of Print: City Lights Spotlight No. 14,Poetry,53.64,5,True,False,5659.02
Les Fleurs du Mal,Poetry,29.04,5,True,False,3063.72
Howl and Other Poems,Poetry,40.45,2,True,False,4267.48
Leave This Song Behind: Teen Poetry at Its Best,Poetry,51.17,5,True,False,5398.44
The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),Poetry,15.42,5,True,False,1626.81
The Crossover,Poetry,38.77,4,True,False,4090.24
Booked,Poetry,17.49,5,True,False,1845.2
Twenty Love Poems and a Song of Despair,Poetry,30.95,4,True,False,3265.22
